symbol,n_bars,test_acc,baseline,auc,coef_mean,coef_last
AAPL,380,0.4824561403508772,0.5350877192982456,0.45932570368079184,-0.12300426508430239,-0.007025068929745071
DIA,486,0.4794520547945205,0.5136986301369864,0.5089201877934273,-0.13316203016980863,-0.24759320518733277
IVV,487,0.4897959183673469,0.5170068027210885,0.5129725722757599,0.24175105881977857,-0.22712482354437916
IWM,522,0.5031847133757962,0.535031847133758,0.5110893672537508,-0.09756388190367413,0.19626995591876026
GOOGL,430,0.3953488372093023,0.5426356589147286,0.3338983050847458,-0.10676317278361772,-0.04525621406745173
AMZN,431,0.5153846153846153,0.5,0.552189349112426,-0.23117023590174193,0.18556007705774377
