method,geodesic_rho,eucl_r2
"ISOMAP (n=15, k=2)",0.9520990681253882,0.7806941295246985
PCA (k=2),0.9481030223393342,0.7881338113186422
"Diffusion Map (k=2, α=1, ε=median)",0.8239981960556991,0.5867942418619514
