method,smoothness_ratio,median_step,median_pair
ISOMAP,0.7807146697128123,0.4079395754875306,0.5225206997040188
PCA,0.7857241443509962,0.28473337196186754,0.3623833809982455
Diffusion Map,0.8482437693819733,0.19934268706904476,0.23500636758497498
