symbol,n_bars,const_cols,Mahal_ISO_rho,Mahal_PCA_rho,Mahal_drho,Mahal_ISO_R2sh,Mahal_PCA_R2sh,Mahal_dR2sh,Z_ISO_rho,Z_PCA_rho,Z_drho
NVDA,8602,0,0.7507748396715789,0.7091670970916223,0.041607742579956586,0.014521757202752728,0.019463551713251204,-0.004941794510498476,0.7737977657414702,0.7108670988941972,0.062930666847273
AAPL,8602,0,0.7215901245815284,0.5717887563089279,0.1498013682726005,0.028453586705085798,0.02845617202262618,-2.5853175403822704e-06,0.6769635192850418,0.6383134627532591,0.03865005653178277
MSFT,8602,0,0.541400490363604,0.470480268504184,0.07092022185942004,0.027608079088679127,0.02730499917612106,0.00030307991255806854,0.5712550246274357,0.6464189532759158,-0.0751639286484801
