seed,dim,method,depth_auc,spread_auc
0,19,raw_features,0.8151398956294023,0.8052356318165443
0,2,PCA,0.5802129096448739,0.5318564322902645
0,2,Isomap,0.5839527625173505,0.5394293176954233
0,2,UMAP,0.7131186135851362,0.6091884197398352
0,2,Diffusion,0.6044460287024656,0.6924139133114898
0,3,PCA,0.6022703516601785,0.5506047036035937
0,3,Isomap,0.761198450768046,0.6566374682696267
0,3,UMAP,0.7341768805705654,0.634117869448092
0,3,Diffusion,0.6304355042445721,0.7561516489749831
0,5,PCA,0.7873968298736406,0.7386272248261785
0,5,Isomap,0.7661878612626963,0.6666202489266215
0,5,UMAP,0.7410405448110321,0.6504094580602557
0,5,Diffusion,0.7453339074347639,0.7535439474254233
1,19,raw_features,0.8100116327281218,0.8138352295296438
1,2,PCA,0.5707165846582253,0.5306555913692842
1,2,Isomap,0.5786004493149637,0.5433636674034439
1,2,UMAP,0.7023412087776351,0.6134903987498641
1,2,Diffusion,0.5505076320664494,0.6315892123377395
1,3,PCA,0.6072915581210674,0.543073052564531
1,3,Isomap,0.7498301560710564,0.633625197693097
1,3,UMAP,0.727677370267027,0.6321814288780949
1,3,Diffusion,0.5977939291456256,0.7657986857458698
1,5,PCA,0.786488184626903,0.7308125538426693
1,5,Isomap,0.7630186739404091,0.6663435196808514
1,5,UMAP,0.7360685324829567,0.6398232143390389
1,5,Diffusion,0.6352618865348774,0.7273003761028416
