seed,symbol,method,knn_r2_fwdvol,knn_vol_auc
0,NVDA,PCA,0.652561852131836,0.9261095095524372
0,AAPL,PCA,0.5319374379590507,0.8397977157501407
0,MSFT,PCA,0.34662929840756573,0.7916805627752589
0,SPY,PCA,0.3420011413275582,0.8452131578947368
0,TSLA,PCA,0.3907253174849742,0.7355806821368414
0,NVDA,Isomap,0.44403010849389246,0.8951177608886136
0,AAPL,Isomap,0.4461859779944439,0.8272258272163165
0,MSFT,Isomap,0.19931111752595876,0.6926236565470734
0,SPY,Isomap,0.18203321546144025,0.7786388157894736
0,TSLA,Isomap,0.1766623669110321,0.6680640006304737
0,NVDA,UMAP,0.6404155783637466,0.9126054580060727
0,AAPL,UMAP,0.59683320847126,0.8834489407235109
0,MSFT,UMAP,0.3016142634555906,0.7909097068166411
0,SPY,UMAP,0.18088222384074992,0.7846868421052632
0,TSLA,UMAP,0.4716882499234972,0.7725416588959534
0,NVDA,Diffusion,0.46926863588817114,0.8481138668509121
0,AAPL,Diffusion,0.677201538439387,0.8971870176735288
0,MSFT,Diffusion,0.4482694982834535,0.8358722044625362
0,SPY,Diffusion,0.4276427362382098,0.8927703947368423
0,TSLA,Diffusion,0.573815500534439,0.8257274804724557
1,NVDA,PCA,0.4976065602738624,0.8870494884394481
1,AAPL,PCA,0.3228438052043737,0.7710939433012409
1,MSFT,PCA,0.12050249056281459,0.667539125113633
1,SPY,PCA,0.15033597408283406,0.6641137240259891
1,TSLA,PCA,0.27922698514569155,0.7030460462266345
1,NVDA,Isomap,0.4934759496926363,0.8933769507257883
1,AAPL,Isomap,0.43834774873291704,0.8347979773110128
1,MSFT,Isomap,0.18491704069746273,0.7000915890642416
1,SPY,Isomap,0.1596215241935337,0.7229222744180306
1,TSLA,Isomap,0.28832123856935765,0.7318243283875612
1,NVDA,UMAP,0.6611401615816097,0.9150408594731836
1,AAPL,UMAP,0.6088363385754951,0.8835579921200726
1,MSFT,UMAP,0.307015457638398,0.7950850280589382
1,SPY,UMAP,0.1787825562335955,0.7792047004347683
1,TSLA,UMAP,0.5207835908807685,0.8101383450923411
1,NVDA,Diffusion,0.4113455707118834,0.8168681221024455
1,AAPL,Diffusion,0.7316813575060606,0.9146402997314795
1,MSFT,Diffusion,0.48090173549372617,0.8559277116948112
1,SPY,Diffusion,0.48161283303338254,0.8824227360567152
1,TSLA,Diffusion,0.6446421807509881,0.8648033745453915
2,NVDA,PCA,0.5665012151153943,0.914337577923627
2,AAPL,PCA,0.39670133512842143,0.7912431874640761
2,MSFT,PCA,0.19822716578219035,0.6919196352963295
2,SPY,PCA,0.2168949908728911,0.7157963678998529
2,TSLA,PCA,0.2532059633939422,0.6807397677970382
2,NVDA,Isomap,0.4520881625633997,0.8833752725875604
2,AAPL,Isomap,0.4173984923109455,0.8069372970945844
2,MSFT,Isomap,0.16398391313583816,0.6918019363229131
2,SPY,Isomap,0.16156184917009575,0.7489723448209125
2,TSLA,Isomap,0.2385779768964882,0.6827118494595784
2,NVDA,UMAP,0.6799471924029816,0.9174199547816027
2,AAPL,UMAP,0.6155522668340092,0.8846236453057078
2,MSFT,UMAP,0.3502854287717786,0.806968245360796
2,SPY,UMAP,0.1511531852001604,0.7446359274701941
2,TSLA,UMAP,0.5196307962428811,0.7952068220476565
2,NVDA,Diffusion,0.6302547451572421,0.9228197217231967
2,AAPL,Diffusion,0.6251742323765792,0.8734579494803048
2,MSFT,Diffusion,0.39107175787771553,0.8232767394199111
2,SPY,Diffusion,0.4249496030892076,0.8591323518893288
2,TSLA,Diffusion,0.5101283516613746,0.7996904049588655
