seed,dim,method,knn_r2_fwdvol,knn_vol_auc
0,0,cur_vol_only,0.8770212702568015,
0,19,raw_features,0.7964104906732936,0.9518169728670299
0,2,PCA,0.48339632663206433,0.8153313349824638
0,2,Isomap,0.33706282928424824,0.769807945953912
0,2,UMAP,0.5684598883933402,0.8609991366808987
0,2,Diffusion,0.5649077927997862,0.8398796545844012
0,3,PCA,0.7266081592886495,0.9113359656804257
0,3,Isomap,0.378629633157314,0.7923994499298979
0,3,UMAP,0.6446494382291255,0.8933264233841147
0,3,Diffusion,0.7469454218881707,0.9222150589212621
0,5,PCA,0.7619135609889499,0.9276960945201282
0,5,Isomap,0.7621605247540734,0.9307735507226261
0,5,UMAP,0.6962352829570323,0.907680336274035
0,5,Diffusion,0.8143037716831292,0.9473217611169724
0,10,PCA,0.8463342897378986,0.9631415725540422
1,0,cur_vol_only,0.8767159583931375,
1,19,raw_features,0.799847405232963,0.9531931102569993
1,2,PCA,0.25271451089816943,0.6868077902078287
1,2,Isomap,0.3416874167301579,0.7606636191867565
1,2,UMAP,0.5914586621468291,0.8692220105215347
1,2,Diffusion,0.6267651164892516,0.8807197319837161
1,3,PCA,0.696569076015182,0.9005189510627534
1,3,Isomap,0.3947134863187919,0.7899931949212429
1,3,UMAP,0.6612451886515877,0.8941772870525018
1,3,Diffusion,0.7340705503171088,0.9198983084673107
1,5,PCA,0.7710370725653697,0.9317437713449817
1,5,Isomap,0.7669263585070203,0.9344903038421701
1,5,UMAP,0.7014914712540822,0.9119926142208974
1,5,Diffusion,0.7944975095122736,0.9439537268198488
1,10,PCA,0.8459261290338996,0.9638049811357645
2,0,cur_vol_only,0.8761228304516143,
2,19,raw_features,0.7956145216318724,0.9505813541263333
2,2,PCA,0.31152477594581607,0.7249749224008658
2,2,Isomap,0.3366959375694343,0.7565312263277548
2,2,UMAP,0.6093824666134317,0.8740742362483873
2,2,Diffusion,0.6426313525356796,0.8848088241248198
2,3,PCA,0.7106302902621444,0.9067372287346012
2,3,Isomap,0.37859257779049393,0.7835199538461616
2,3,UMAP,0.6613664333525615,0.8954435254914677
2,3,Diffusion,0.7386149944158651,0.9242665409951696
2,5,PCA,0.774748247594647,0.9338867163964488
2,5,Isomap,0.7651312476531495,0.9320013872021728
2,5,UMAP,0.7060863052510618,0.9120723296756933
2,5,Diffusion,0.8156257970771017,0.9489702512562508
2,10,PCA,0.8442833513244185,0.9642371280614974
