method,geodesic_rho,eucl_r2
"ISOMAP (n=15, k=2)",0.9520990681253882,0.7806941295246985
PCA (k=2),0.9481030223393342,0.7881338113186422
"t-SNE (k=2, perplexity=30)",0.8444738873065857,0.716576515595296
