grouping,n_clusters,isomap,pca,t-sne
time-of-day (open/mid/close),3,-0.002289320444009142,-0.0026490379535683488,-0.0023235695194672185
day-of-week,5,0.009666974849416811,0.008289747853900506,0.008971448356250673
return sign,2,0.001104172766578836,0.0009029729776483942,0.000612502010377193
return magnitude tertile,3,0.0009273558128180988,0.0007275052259004173,-0.00012372224052120825
