dim,method,knn_r2
1,cur_atm_persistence,-0.18799498491527777
63,raw_surface,-0.12306217324814406
2,PCA,-0.05724167862172558
2,Isomap,-0.018763145264733883
3,PCA,-0.06560326490948465
3,Isomap,-0.04710133207743583
5,PCA,-0.04299049499854535
5,Isomap,0.035311473719897735
