method, n_neighbors, fit_seconds        , geodesic_rho      , r2_train          , r2_oos            , ic_train_z1          , ic_train_z2          , ic_oos_z1            , ic_oos_z2            , ic_oos_best_axis
ISOMAP,         3.0,  3.3404150009155273, 0.9324906443517008, 0.7642028191501516, 0.7509428686591562, -0.030720182729216356, 0.012812943827276633 , -0.012116967236546738, -0.010474225533248104, 0.01279645377749675
ISOMAP,         5.0,  3.322280168533325 , 0.942519474357827 , 0.773376713738139 , 0.7611190578854172, 0.030844310573535275 , -0.015265919926462087, 0.01095488238489981  , 0.015804239132182974 , 0.015108365079112921
ISOMAP,         7.0,  3.6272172927856445, 0.9465782160078702, 0.7773738547650242, 0.7653550704209325, -0.030060374336381566, -0.017183354813711072, -0.011055065270589052, 0.017971370940590068 , 0.015284547247226799
ISOMAP,        10.0,  3.89749813079834  , 0.9485997480139718, 0.7784875339566489, 0.7676420965063961, -0.03091387045348232 , -0.01811778108111534 , -0.011590104529696452, 0.015947012306032435 , 0.01319426541963632
ISOMAP,        15.0,  4.416830062866211 , 0.9520990681253882, 0.7806941295246985, 0.7695242834237379, 0.03066976305072723  , -0.018228162118583736, 0.011642920797853097 , 0.012821244457484598 , 0.01059036880215764
ISOMAP,        20.0,  5.024645090103149 , 0.9508984630519836, 0.7823313263184186, 0.7709547549513378, 0.03048119679356965  , -0.01884993250991702 , 0.012257978503684774 , 0.01206300879407301  , 0.011409220186533075
ISOMAP,        30.0,  5.887550115585327 , 0.950847914736546 , 0.7833054541128514, 0.7720304183207971, 0.030803238757617108 , -0.018270814704309128, 0.012251958161391905 , 0.012104732366507512 , 0.01105664544977323
ISOMAP,        50.0,  8.06332015991211  , 0.9510944677044504, 0.7846872186967064, 0.7731634645220702, 0.030643308563527115 , -0.017004378415061968, 0.01273658177495509  , 0.01229690833672319  , 0.011424969378241834
ISOMAP,        75.0, 10.696683883666992 , 0.951408484752522 , 0.7854714647732627, 0.7738212982619347, 0.03061915711093235  , -0.018263121482049397, 0.013043630503348443 , 0.011726117202238357 , 0.01196309464364986
ISOMAP,       100.0, 14.268660068511963 , 0.9515781808687379, 0.785910558159973 , 0.7742144006380606, 0.03063117149964557  , -0.018339814510185407, 0.012966939311655202 , 0.012661242564876446 , 0.012948427228748676
ISOMAP,       150.0, 18.03082799911499  , 0.951878509364867 , 0.7864378828616563, 0.7747060762901484, 0.030534240238827462 , -0.018665622948398807, 0.013040371074804732 , 0.012613755718468364 , 0.01373494218698571
ISOMAP,       200.0, 27.457420110702515 , 0.9519320722486714, 0.7867273574787693, 0.7749454787201615, 0.030427480625408614 , -0.018970399082873603, 0.012740136832065986 , 0.01242792103045494  , 0.012545268367823053
PCA   ,            ,  0.0               , 0.9481030223393342, 0.7881338113186422, 0.7756954568242269, 0.030611930113290702 , 0.01879953605419113  , 0.012279042879512108 , -0.011646876486052357, 0.009734464183474591
