symbol,minute,nbbo_updates,mean_spread_bps,median_spread_bps,max_spread_bps,mean_depth_imbalance,mean_quoted_depth,first_mid,last_mid,high_mid,low_mid,mid_return,mid_range,quote_intensity
AAPL,07:48:32,1,126.4427817411987,126.4427817411987,126.4427817411987,0.0,200.0,172.41,172.41,172.41,172.41,0.0,0.0,1
AAPL,07:50:46,1,123.52480644880653,123.52480644880653,123.52480644880653,0.0,200.0,172.435,172.435,172.435,172.435,0.0,0.0,1
AAPL,07:50:48,1,123.52480644880653,123.52480644880653,123.52480644880653,0.0,200.0,172.435,172.435,172.435,172.435,0.0,0.0,1
AAPL,07:56:39,1,117.69139345450334,117.69139345450334,117.69139345450334,0.0,200.0,172.485,172.485,172.485,172.485,0.0,0.0,1
AAPL,08:00:00,1,114.19296872735698,114.19296872735698,114.19296872735698,0.0,200.0,172.515,172.515,172.515,172.515,0.0,0.0,1
AAPL,08:00:01,1,113.02709752209759,113.02709752209759,113.02709752209759,0.0,200.0,172.525,172.525,172.525,172.525,0.0,0.0,1
AAPL,08:22:34,1,139.87637482225233,139.87637482225233,139.87637482225233,0.0,200.0,172.29500000000002,172.29500000000002,172.29500000000002,172.29500000000002,0.0,0.0,1
AAPL,08:24:02,1,137.53880973798013,137.53880973798013,137.53880973798013,0.0,200.0,172.315,172.315,172.315,172.315,0.0,0.0,1
AAPL,08:30:45,5,89.29460984497075,136.3702306687941,136.95450324976866,0.0,200.0,172.32,171.305,172.325,171.295,-0.005907619945896571,59.77251624883944,5
AAPL,08:30:46,22,77.78933263314697,78.68992616617892,136.95450324976866,0.0,200.0,172.325,171.305,172.32999999999998,171.305,-0.005936635309533581,59.48063252574944,22
AAPL,08:30:48,1,18.096377805668382,18.096377805668382,18.096377805668382,0.0,200.0,171.305,171.305,171.305,171.305,0.0,0.0,1
AAPL,08:30:50,2,18.388527490108608,18.388527490108608,18.680677174548837,0.0,200.0,171.3,171.305,171.305,171.3,2.9188132107530037e-05,0.2918855808520404,2
AAPL,08:30:52,7,68.86848744821872,18.67958671414355,136.3702306687941,0.0,200.0,172.325,171.305,172.325,171.305,-0.005936635309533581,59.19048309879483,7
AAPL,08:30:53,2,18.388527490108608,18.388527490108608,18.680677174548837,0.0,200.0,171.3,171.305,171.305,171.3,2.9188132107530037e-05,0.2918855808520404,2
AAPL,08:30:54,2,77.52490869146882,77.52490869146882,136.3702306687941,0.0,200.0,172.325,171.31,172.325,171.31,-0.0059074480293482305,58.900333671840215,2
AAPL,08:30:55,3,97.14037057474371,136.3702306687941,136.95450324976866,0.0,200.0,172.32,171.305,172.325,171.305,-0.005907619945896571,59.19220055710201,3
AAPL,08:30:56,5,89.4108276031288,136.3702306687941,136.95450324976866,0.0,200.0,172.325,171.31,172.325,171.31,-0.0059074480293482305,58.900333671840215,5
AAPL,08:30:57,4,47.810915863669926,18.388527490108608,136.3702306687941,0.0,200.0,172.325,171.305,172.325,171.3,-0.005936635309533581,59.48063252574944,4
AAPL,08:30:58,4,77.37910646435003,77.52490869146882,136.3702306687941,0.0,200.0,172.325,171.305,172.325,171.305,-0.005936635309533581,59.19048309879483,4
AAPL,08:30:59,2,18.388527490108608,18.388527490108608,18.680677174548837,0.0,200.0,171.3,171.305,171.305,171.3,2.9188132107530037e-05,0.2918855808520404,2
AAPL,08:31:00,4,47.80984914277734,18.67904154759224,135.78599199210836,0.0,200.0,172.32999999999998,171.315,172.32999999999998,171.31,-0.005907276122805602,59.18876574014866,4
AAPL,08:31:01,4,76.94013521879619,76.94014179889986,135.78599199210836,0.0,200.0,172.32999999999998,171.325,172.33499999999998,171.32,-0.005848905821598332,58.898624731618774,4
AAPL,08:31:04,5,65.52171420827271,18.67958671414355,136.3702306687941,0.0,200.0,171.31,171.325,172.32999999999998,171.31,8.755672952009523e-05,59.541182651332775,5
AAPL,08:31:05,6,57.422045459805844,18.9700838773821,135.2017872167588,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.315,-0.005877919501550337,59.18704848115483,6
AAPL,08:31:08,2,76.93959669598874,76.93959669598874,135.2017872167588,0.0,200.0,172.33499999999998,171.32999999999998,172.33499999999998,171.32999999999998,-0.00584873562855652,58.31665070937393,2
AAPL,08:31:09,6,76.84276556287003,76.94014179889986,135.78599199210836,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.32,-0.005877919501550337,58.8969158905612,6
AAPL,08:31:10,9,83.60850353033692,135.2017872167588,135.78599199210836,0.0,200.0,172.33499999999998,171.315,172.33499999999998,171.315,-0.005936289802757699,59.18704848115483,9
AAPL,08:31:11,3,18.29007656059218,18.095321483816495,18.67958671414355,0.0,200.0,171.315,171.315,171.315,171.31,0.0,0.2918600239322565,3
AAPL,08:31:13,1,18.095321483816495,18.095321483816495,18.095321483816495,0.0,200.0,171.315,171.315,171.315,171.315,0.0,0.0,1
AAPL,08:31:14,6,77.13504837037057,77.23224418657465,135.78599199210836,0.0,200.0,172.32999999999998,171.32,172.32999999999998,171.315,-0.005878090546315459,58.898624731618774,6
AAPL,08:31:15,2,76.94065673796243,76.94065673796243,135.78599199210836,0.0,200.0,172.32999999999998,171.315,172.32999999999998,171.315,-0.005907276122805602,58.898624731618774,2
AAPL,08:31:17,2,18.387454098980022,18.387454098980022,18.67958671414355,0.0,200.0,171.31,171.315,171.315,171.31,2.918642831286099e-05,0.2918685424082338,2
AAPL,08:31:19,2,18.387454098980022,18.387454098980022,18.67958671414355,0.0,200.0,171.31,171.315,171.315,171.31,2.918642831286099e-05,0.2918685424082338,2
AAPL,08:31:26,3,57.71539839620201,18.67958671414355,136.3702306687941,0.0,200.0,171.31,171.305,172.325,171.305,-2.9187280185321826e-05,59.541182651332775,3
AAPL,08:31:27,2,77.23330423723124,77.23330423723124,136.3702306687941,0.0,200.0,172.325,171.305,172.325,171.305,-0.005936635309533581,59.19048309879483,2
AAPL,08:31:38,2,76.35541277491016,76.35541277491016,134.61761633979305,0.0,200.0,172.34,171.335,172.34,171.335,-0.005848565445419188,58.31495880236715,2
AAPL,08:31:39,3,57.32413420066825,18.677406175218678,135.2017872167588,0.0,200.0,172.33499999999998,171.335,172.33499999999998,171.32999999999998,-0.005819552607236179,58.31665070937393,3
AAPL,08:31:40,2,76.35541277491016,76.35541277491016,134.61761633979305,0.0,200.0,172.34,171.335,172.34,171.335,-0.005848565445419188,58.31495880236715,2
AAPL,08:31:41,3,95.97087092219304,134.61761633979305,135.2017872167588,0.0,200.0,172.33499999999998,171.335,172.34,171.335,-0.005819552607236179,58.31665070937393,3
AAPL,08:31:42,8,76.50118949656573,76.6469662182213,134.61761633979305,0.0,200.0,172.34,171.335,172.34,171.335,-0.005848565445419188,58.31495880236715,8
AAPL,08:31:43,2,76.35541277491016,76.35541277491016,134.61761633979305,0.0,200.0,172.34,171.335,172.34,171.335,-0.005848565445419188,58.31495880236715,2
AAPL,08:31:44,4,76.35541277491016,76.35541277491016,134.61761633979305,0.0,200.0,171.335,172.34,172.34,171.335,0.0058485654454192675,58.65701695508771,4
AAPL,08:31:45,3,57.129047215489955,18.676316096649536,134.61761633979305,0.0,200.0,171.34,171.335,172.34,171.335,-2.918216969635781e-05,58.65530524104094,3
AAPL,08:31:46,4,76.35541277491016,76.35541277491016,134.61761633979305,0.0,200.0,172.34,171.335,172.34,171.335,-0.005848565445419188,58.31495880236715,4
AAPL,08:31:47,2,18.385307692622973,18.385307692622973,18.677406175218678,0.0,200.0,171.32999999999998,171.335,171.335,171.32999999999998,2.918302132035267e-05,0.29183447148916564,2
AAPL,08:31:48,2,76.6469662182213,76.6469662182213,134.61761633979305,0.0,200.0,172.34,171.34,172.34,171.34,-0.005819383275722844,58.02483462922131,2
AAPL,08:31:49,15,49.282585164968644,18.676316096649536,134.61761633979305,0.0,200.0,172.34,171.345,172.345,171.335,-0.005790201957600678,58.60508297551299,15
AAPL,08:31:50,3,57.129047215489955,18.676316096649536,134.61761633979305,0.0,200.0,171.335,171.34,172.34,171.335,2.918216969645411e-05,58.65701695508771,3
AAPL,08:31:59,2,76.64802625101773,76.64802625101773,135.2017872167588,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.325,-0.005877919501550337,58.60678329996757,2
AAPL,08:32:00,1,18.094265285276656,18.094265285276656,18.094265285276656,0.0,200.0,171.325,171.325,171.325,171.325,0.0,0.0,1
AAPL,08:32:01,4,47.66351878556061,18.38690893242871,135.78599199210836,0.0,200.0,171.315,171.325,172.32999999999998,171.315,5.8370301207244746e-05,59.24758485830116,4
AAPL,08:32:02,2,18.386380833158793,18.386380833158793,18.67849638104093,0.0,200.0,171.32,171.325,171.325,171.32,2.91847247171352e-05,0.2918515059535053,2
AAPL,08:32:03,3,18.289361050044693,18.095321483816495,18.67849638104093,0.0,200.0,171.32,171.315,171.325,171.315,-2.918557649015084e-05,0.5837030119070106,3
AAPL,08:32:04,3,57.51958455280865,18.67849638104093,135.78599199210836,0.0,200.0,172.32999999999998,171.325,172.32999999999998,171.32,-0.005848905821598332,58.608483723088895,3
AAPL,08:32:05,7,51.72077844246701,18.67849638104093,135.78599199210836,0.0,200.0,172.33499999999998,171.32,172.33499999999998,171.315,-0.005907104226267566,59.18704848115483,7
AAPL,08:32:06,5,64.82063907225957,18.094265285276656,135.2017872167588,0.0,200.0,171.325,171.325,172.33499999999998,171.32,0.0,59.24412665985621,5
AAPL,08:32:08,8,76.7944735154544,76.94014179889986,135.78599199210836,0.0,200.0,172.33499999999998,171.32,172.33499999999998,171.315,-0.005907104226267566,59.18704848115483,8
AAPL,08:32:09,2,76.94065673796243,76.94065673796243,135.78599199210836,0.0,200.0,172.32999999999998,171.315,172.32999999999998,171.315,-0.005907276122805602,58.898624731618774,2
AAPL,08:32:11,7,51.80393826096843,18.67849638104093,135.78599199210836,0.0,200.0,172.32999999999998,171.325,172.33499999999998,171.32,-0.005848905821598332,58.898624731618774,7
AAPL,08:32:12,4,76.50223251900529,76.64802625101773,135.2017872167588,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.32,-0.005877919501550337,58.8969158905612,4
AAPL,08:32:13,1,18.095321483816495,18.095321483816495,18.095321483816495,0.0,200.0,171.315,171.315,171.315,171.315,0.0,0.0,1
AAPL,08:32:14,9,56.9358316418141,18.094265285276656,135.2017872167588,0.0,200.0,171.32,171.325,172.33499999999998,171.315,2.91847247171352e-05,59.537707214568165,9
AAPL,08:32:15,1,18.095321483816495,18.095321483816495,18.095321483816495,0.0,200.0,171.315,171.315,171.315,171.315,0.0,0.0,1
AAPL,08:32:16,3,56.93571428642079,18.094265285276656,135.2017872167588,0.0,200.0,171.32,171.325,172.33499999999998,171.32,2.91847247171352e-05,59.24585570861466,3
AAPL,08:32:19,6,56.935890319510754,18.094793384546577,135.2017872167588,0.0,200.0,171.315,171.32,172.33499999999998,171.315,2.9185576490241208e-05,59.53944488223342,6
AAPL,08:32:20,3,57.13045799528398,18.095321483816495,135.2017872167588,0.0,200.0,172.33499999999998,171.315,172.33499999999998,171.315,-0.005936289802757699,59.18704848115483,3
AAPL,08:32:21,3,96.36068149804794,135.2017872167588,135.78599199210836,0.0,200.0,172.32999999999998,171.325,172.33499999999998,171.325,-0.005848905821598332,58.608483723088895,3
AAPL,08:32:23,8,62.00997878627673,18.38690893242871,135.78599199210836,0.0,200.0,171.32,171.325,172.33499999999998,171.315,2.91847247171352e-05,59.537707214568165,8
AAPL,08:32:24,5,41.282922179769116,18.095321483816495,135.2017872167588,0.0,200.0,172.33499999999998,171.315,172.33499999999998,171.315,-0.005936289802757699,59.18704848115483,5
AAPL,08:32:25,3,96.36068149804794,135.2017872167588,135.78599199210836,0.0,200.0,172.32999999999998,171.325,172.33499999999998,171.325,-0.005848905821598332,58.608483723088895,3
AAPL,08:32:26,6,76.64837392532434,76.64855435028764,135.78599199210836,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.315,-0.005877919501550337,59.18704848115483,6
AAPL,08:32:27,2,76.35643878699284,76.35643878699284,135.2017872167588,0.0,200.0,172.33499999999998,171.32,172.33499999999998,171.32,-0.005907104226267566,58.8969158905612,2
AAPL,08:32:28,4,47.07982235375727,17.803205920521698,135.2017872167588,0.0,200.0,172.33499999999998,171.32,172.33499999999998,171.315,-0.005907104226267566,59.18704848115483,4
AAPL,08:32:29,3,57.519936618988595,18.67849638104093,135.78599199210836,0.0,200.0,171.315,171.32,172.32999999999998,171.315,2.9185576490241208e-05,59.24758485830116,3
AAPL,08:32:30,1,18.094265285276656,18.094265285276656,18.094265285276656,0.0,200.0,171.325,171.325,171.325,171.325,0.0,0.0,1
AAPL,08:32:31,4,76.50223251900529,76.64802625101773,135.2017872167588,0.0,200.0,172.33499999999998,171.325,172.33499999999998,171.32,-0.005877919501550337,58.8969158905612,4
AAPL,08:32:32,1,18.094265285276656,18.094265285276656,18.094265285276656,0.0,200.0,171.325,171.325,171.325,171.325,0.0,0.0,1
AAPL,08:32:33,3,57.519936618988595,18.67849638104093,135.78599199210836,0.0,200.0,171.32,171.315,172.32999999999998,171.315,-2.918557649015084e-05,59.24585570861466,3
AAPL,08:32:34,1,17.511090357226905,17.511090357226905,17.511090357226905,0.0,200.0,171.32,171.32,171.32,171.32,0.0,0.0,1
AAPL,08:32:35,2,17.803205920521698,17.803205920521698,18.095321483816495,0.0,200.0,171.315,171.32,171.32,171.315,2.9185576490241208e-05,0.2918600239322565,2
AAPL,08:32:36,2,17.803205920521698,17.803205920521698,18.095321483816495,0.0,200.0,171.315,171.32,171.32,171.315,2.9185576490241208e-05,0.2918600239322565,2
AAPL,08:32:37,4,47.22561608576971,18.094793384546577,135.2017872167588,0.0,200.0,171.315,171.325,172.33499999999998,171.315,5.8370301207244746e-05,59.53944488223342,4
AAPL,08:32:38,3,57.13082142937642,18.67958671414355,135.2017872167588,0.0,200.0,172.33499999999998,171.31,172.33499999999998,171.31,-0.005965476231070567,59.477181071748475,3
AAPL,08:32:39,6,18.387454098980022,18.387454098980022,18.67958671414355,0.0,200.0,171.315,171.31,171.315,171.31,-2.9186428312866248e-05,0.2918600239322565,6
AAPL,08:32:40,1,18.095321483816495,18.095321483816495,18.095321483816495,0.0,200.0,171.315,171.315,171.315,171.315,0.0,0.0,1
AAPL,08:32:41,9,44.37828088520459,18.095321483816495,135.78599199210836,0.0,200.0,171.315,171.315,172.32999999999998,171.315,0.0,59.24758485830116,9
AAPL,08:32:42,3,57.32554498658045,18.095321483816495,135.78599199210836,0.0,200.0,171.315,171.315,172.32999999999998,171.315,0.0,59.24758485830116,3
AAPL,08:32:43,4,18.24138779139826,18.095321483816495,18.67958671414355,0.0,200.0,171.31,171.315,171.315,171.31,2.918642831286099e-05,0.2918685424082338,4
AAPL,08:32:44,3,57.71539839620201,18.67958671414355,136.3702306687941,0.0,200.0,171.305,171.31,172.325,171.305,2.9187280185438625e-05,59.54292052187512,3
