time_bin,total_volume,trade_count,avg_price,vwap,open_price,high_price,low_price,close_price,avg_volume,max_volume,symbol,minute_return,minute_range,realized_var,dollar_volume,time_of_day
240,1788,75,273.0706666666667,273.17632550335566,272.17,273.3,272.17,273.08,23.84,165,AAPL,0.0033379214852400627,41.51816879156393,1.1141719841627226e-05,488439.2699999999,04:00
241,791,39,273.44897435897434,273.41016434892543,273.29,273.9,273.24,273.5,20.28205128205128,100,AAPL,0.0007681194254653199,24.15017014892488,5.900074517771732e-07,216267.44000000003,04:01
242,12,6,273.295,273.3025,273.25,273.32,273.25,273.32,2.0,4,AAPL,0.0002561428559295429,2.561756633119604,6.560916264374257e-08,3279.63,04:02
243,66,8,273.315,273.31909090909085,273.32,273.32,273.3,273.3,8.25,22,AAPL,-7.317697855515117e-05,0.7317430118535714,5.354870190461054e-09,18039.059999999998,04:03
244,74,10,273.358,273.37162162162167,273.34,273.42,273.32,273.4,7.4,30,AAPL,0.000219482753194707,3.6584473549433945,4.8172678949928664e-08,20229.500000000004,04:04
245,2919,44,273.4652272727273,273.4764337101747,273.4,273.6,273.34,273.43,66.3409090909091,553,AAPL,0.00010972331448582072,9.50987564008953,1.2039205741754314e-08,798277.71,04:05
246,1139,30,273.4706666666667,273.4819666374012,273.42,273.53,273.41,273.41,37.96666666666667,183,AAPL,-3.657443812927742e-05,4.388852315117683,1.337689524472342e-09,311495.95999999996,04:06
247,175,6,273.43833333333333,273.43074285714283,273.43,273.45,273.43,273.45,29.166666666666668,56,AAPL,7.314218844684813e-05,0.7314486340190107,5.349779730794244e-09,47850.38,04:07
248,286,12,273.5075,273.5184615384615,273.5,273.54,273.45,273.54,23.833333333333332,100,AAPL,0.00014624159136923938,3.290676416820177,2.138660304620759e-08,78226.27999999998,04:08
249,247,8,273.55875000000003,273.56502024291495,273.54,273.57,273.54,273.57,30.875,95,AAPL,0.00010966716027876211,1.0967317394155411,1.2026886043607699e-08,67570.56,04:09
250,470,9,273.5733333333333,273.5700638297872,273.57,273.6,273.57,273.57,52.22222222222222,96,AAPL,0.0,1.0966114705570627,0.0,128577.93,04:10
251,922,46,273.54391304347826,273.5528199566161,273.6,273.6,273.51,273.52,20.043478260869566,134,AAPL,-0.0002924404173497351,3.2894736842116896,8.552139769968725e-08,252215.7,04:11
252,1116,29,273.52827586206894,273.5385483870968,273.51,273.57,273.49,273.55,38.48275862068966,306,AAPL,0.00014623624491383682,2.9249387590941494,2.1385039326499667e-08,305269.02,04:12
253,561,32,273.5515625,273.5638680926917,273.57,273.58,273.45,273.58,17.53125,62,AAPL,3.655304761444309e-05,4.751983039075756,1.3361252899037436e-09,153469.33000000005,04:13
254,4906,131,273.76083969465645,273.80345087647777,273.55,274.0,273.52,273.82,37.45038167938932,439,AAPL,0.0009865356957748886,17.5470663498453,9.732526790380437e-07,1343279.73,04:14
255,1750,50,273.8154,273.82021142857144,273.82,273.99,273.62,273.7,35.0,202,AAPL,-0.0004383401589765599,13.512526477247993,1.921420949715958e-07,479185.37,04:15
256,1080,27,273.71074074074073,273.6766666666667,273.7,273.92,273.64,273.66,40.0,168,AAPL,-0.00014615609496920556,10.230179028134074,2.1361604096647434e-08,295570.8,04:16
257,903,25,273.5936,273.5940863787376,273.66,273.77,273.54,273.58,36.12,183,AAPL,-0.00029237629036593465,8.404589636774148,8.548389516814533e-08,247055.46000000005,04:17
258,15708,24,273.56374999999997,273.5310376878023,273.67,273.67,273.53,273.6,654.5,10059,AAPL,-0.0002558152297101656,5.115650235686893,6.544143175166479e-08,4296625.539999999,04:18
259,165,4,273.6325,273.56054545454543,273.55,273.69,273.55,273.69,41.25,150,AAPL,0.0005116585156577315,5.11789435203752,2.6179443664507304e-07,45137.49,04:19
260,4,2,273.64,273.645,273.63,273.65,273.63,273.65,2.0,3,AAPL,7.30887297504164e-05,0.7309140079662979,5.341962416529403e-09,1094.58,04:20
261,188,7,273.6771428571429,273.6377127659575,273.77,273.77,273.62,273.7,26.857142857142858,157,AAPL,-0.0002557217761026516,5.479051758774784,6.539362677309466e-08,51443.89000000001,04:21
262,14,4,273.6625,273.67,273.68,273.68,273.61,273.68,3.5,10,AAPL,0.0,2.5577316574098647,0.0,3831.38,04:22
263,53,10,273.591,273.56264150943394,273.68,273.68,273.53,273.6,5.3,16,AAPL,-0.0002923549209538189,5.480853551594348,8.54713998059137e-08,14498.82,04:23
264,1002,28,273.5482142857143,273.55185628742515,273.6,273.61,273.43,273.54,35.785714285714285,197,AAPL,-0.00021932229499038318,6.578947368421302,4.810226907984866e-08,274098.96,04:24
265,532,31,273.5535483870968,273.567105263158,273.59,273.66,273.41,273.57,17.161290322580644,113,AAPL,-7.310475915236018e-05,9.137760883073213,5.34430581072459e-09,145537.70000000004,04:25
266,243,6,273.565,273.5371193415638,273.54,273.64,273.52,273.64,40.5,112,AAPL,0.0003655104393921602,4.386926957666321,1.3359788130465e-07,66469.52,04:26
267,265,15,273.70533333333333,273.69592452830193,273.62,273.78,273.62,273.78,17.666666666666668,100,AAPL,0.0005845816753979921,5.847525765659241,3.417357352111234e-07,72529.42000000001,04:27
268,279,10,273.73,273.7477060931899,273.73,273.77,273.69,273.69,27.9,125,AAPL,-0.00014614007552230128,2.9225879516305877,2.1356921673663923e-08,76375.60999999999,04:28
269,355,10,273.7,273.7384507042254,273.71,273.78,273.68,273.69,35.5,200,AAPL,-7.307270737627058e-05,3.653501881552223,5.339620563298068e-09,97177.15000000001,04:29
270,590,29,273.6406896551724,273.65038983050846,273.69,273.71,273.54,273.54,20.344827586206897,113,AAPL,-0.0005482155720875823,6.211407066387484,3.0054031347931513e-07,161453.72999999998,04:30
271,741,36,273.59555555555556,273.60180836707156,273.53,273.67,273.52,273.58,20.583333333333332,100,AAPL,0.0001827786007904514,5.483859174497646,3.340801690691521e-08,202738.94000000003,04:31
272,186,9,273.6744444444445,273.67118279569894,273.69,273.69,273.67,273.69,20.666666666666668,25,AAPL,0.0,0.730753772515686,0.0,50902.840000000004,04:32
273,30,1,273.74,273.74,273.74,273.74,273.74,273.74,30.0,30,AAPL,0.0,0.0,0.0,8212.2,04:33
274,72,4,273.6975,273.69166666666666,273.69,273.72,273.69,273.69,18.0,65,AAPL,0.0,1.096130658775606,0.0,19705.8,04:34
275,6,3,273.67333333333335,273.6616666666667,273.66,273.71,273.65,273.71,2.0,4,AAPL,0.00018269178120473248,2.192501644376316,3.3376286919757845e-08,1641.9700000000003,04:35
276,31,3,273.70000000000005,273.7161290322581,273.66,273.72,273.66,273.72,10.333333333333334,22,AAPL,0.00021922613263286313,2.192501644376316,4.8060097229161696e-08,8485.2,04:36
